,price,bedrooms,bathrooms,view,sqft_living,sqft_land_area,floors,condition,grade,sqft_above,sqft_basement,year_built,sqft_avg_neighbor_living,sqft_avg_neighbor_land_area,latitude,longitude,clusters
0,221900.0,3,1.0,0,1180,5650,1.0,3,7,1180,0,1955,1340,5650,47.5112,-122.257,0
1,538000.0,3,2.25,0,2570,7242,2.0,3,7,2170,400,1951,1690,7639,47.721,-122.319,1
2,180000.0,2,1.0,0,770,10000,1.0,3,6,770,0,1933,2720,8062,47.7379,-122.233,0
3,604000.0,4,3.0,0,1960,5000,1.0,5,7,1050,910,1965,1360,5000,47.5208,-122.393,2
4,510000.0,3,2.0,0,1680,8080,1.0,3,8,1680,0,1987,1800,7503,47.6168,-122.045,1
5,1225000.0,4,4.5,0,5420,101930,1.0,3,11,3890,1530,2001,4760,101930,47.6561,-122.005,3
6,257500.0,3,2.25,0,1715,6819,2.0,3,7,1715,0,1995,2238,6819,47.3097,-122.327,1
7,291850.0,3,1.5,0,1060,9711,1.0,3,7,1060,0,1963,1650,9711,47.4095,-122.315,0
8,229500.0,3,1.0,0,1780,7470,1.0,3,7,1050,730,1960,1780,8113,47.5123,-122.337,0
9,323000.0,3,2.5,0,1890,6560,2.0,3,7,1890,0,2003,2390,7570,47.3684,-122.031,1
10,662500.0,3,2.5,0,3560,9796,1.0,3,8,1860,1700,1965,2210,8925,47.6007,-122.145,2
11,468000.0,2,1.0,0,1160,6000,1.0,4,7,860,300,1942,1330,6000,47.69,-122.292,0
12,310000.0,3,1.0,0,1430,19901,1.5,4,7,1430,0,1927,1780,12697,47.7558,-122.229,0
13,400000.0,3,1.75,0,1370,9680,1.0,4,7,1370,0,1977,1370,10208,47.6127,-122.045,0
14,530000.0,5,2.0,0,1810,4850,1.5,3,7,1810,0,1900,1360,4850,47.67,-122.394,2
15,650000.0,4,3.0,3,2950,5000,2.0,3,9,1980,970,1979,2140,4000,47.5714,-122.375,3
16,395000.0,3,2.0,0,1890,14040,2.0,3,7,1890,0,1994,1890,14018,47.7277,-121.962,1
17,485000.0,4,1.0,0,1600,4300,1.5,4,7,1600,0,1916,1610,4300,47.6648,-122.343,0
18,189000.0,2,1.0,0,1200,9850,1.0,4,7,1200,0,1921,1060,5095,47.3089,-122.21,0
19,230000.0,3,1.0,0,1250,9774,1.0,4,7,1250,0,1969,1280,8850,47.3343,-122.306,0
20,385000.0,4,1.75,0,1620,4980,1.0,4,7,860,760,1947,1400,4980,47.7025,-122.341,2
21,2000000.0,3,2.75,4,3050,44867,1.0,3,9,2330,720,1968,4110,20336,47.5316,-122.233,3
22,285000.0,5,2.5,0,2270,6300,2.0,3,8,2270,0,1995,2240,7005,47.3266,-122.169,1
23,252700.0,2,1.5,0,1070,9643,1.0,3,7,1070,0,1985,1220,8386,47.3533,-122.166,0
24,329000.0,3,2.25,0,2450,6500,2.0,4,8,2450,0,1985,2200,6865,47.3739,-122.172,1
25,233000.0,3,2.0,0,1710,4697,1.5,5,6,1710,0,1941,1030,4705,47.3048,-122.218,0
26,937000.0,3,1.75,0,2450,2691,2.0,3,8,1750,700,1915,1760,3573,47.6386,-122.36,2
27,667000.0,3,1.0,0,1400,1581,1.5,5,8,1400,0,1909,1860,3861,47.6221,-122.314,0
28,438000.0,3,1.75,0,1520,6380,1.0,3,7,790,730,1948,1520,6235,47.695,-122.304,0
29,719000.0,4,2.5,0,2570,7173,2.0,3,8,2570,0,2005,2630,6026,47.7073,-122.11,1
30,580500.0,3,2.5,0,2320,3980,2.0,3,8,2320,0,2003,2580,3980,47.5391,-122.07,1
31,280000.0,2,1.5,0,1190,1265,3.0,3,7,1190,0,2005,1390,1756,47.7274,-122.357,1
32,687500.0,4,1.75,0,2330,5000,1.5,4,7,1510,820,1929,1460,5000,47.6823,-122.368,2
33,535000.0,3,1.0,0,1090,3000,1.5,4,8,1090,0,1929,1570,5080,47.6889,-122.375,0
34,322500.0,4,2.75,0,2060,6659,1.0,3,7,1280,780,1981,2020,8720,47.4276,-122.157,2
35,696000.0,3,2.5,0,2300,3060,1.5,3,8,1510,790,1930,1590,3264,47.6827,-122.31,2
36,550000.0,4,1.0,0,1660,34848,1.0,1,5,930,730,1933,2160,11467,47.6621,-122.132,0
37,640000.0,4,2.0,0,2360,6000,2.0,4,8,2360,0,1904,1730,4700,47.6702,-122.362,2
38,240000.0,4,1.0,0,1220,8075,1.0,2,7,890,330,1969,1290,7800,47.3341,-122.282,0
39,605000.0,4,2.5,0,2620,7553,2.0,3,8,2620,0,1996,2620,11884,47.5301,-122.18,1
40,625000.0,4,2.5,0,2570,5520,2.0,3,9,2570,0,2000,2470,5669,47.6145,-122.027,1
41,775000.0,4,2.25,0,4220,24186,1.0,3,8,2600,1620,1984,2410,30617,47.445,-122.347,2
42,861990.0,5,2.75,0,3595,5639,2.0,3,9,3595,0,2014,3625,5639,47.6848,-122.016,3
43,685000.0,3,1.0,0,1570,2280,2.0,3,7,1570,0,1922,1580,2640,47.6413,-122.364,0
44,309000.0,3,1.0,0,1280,9656,1.0,4,6,920,360,1959,1340,8808,47.4485,-122.175,0
45,488000.0,3,2.5,0,3160,13603,2.0,3,8,3160,0,2003,3050,9232,47.7443,-121.977,1
46,210490.0,3,1.0,0,990,8528,1.0,3,6,990,0,1966,1228,8840,47.3066,-122.371,0
47,785000.0,4,2.5,0,2290,13416,2.0,4,9,2290,0,1981,2680,13685,47.6194,-122.151,1
48,450000.0,3,1.75,0,1250,5963,1.0,4,7,1250,0,1953,970,5100,47.6796,-122.301,0
49,1350000.0,3,2.5,2,2753,65005,1.0,5,9,2165,588,1953,2680,72513,47.4041,-122.451,2
50,228000.0,3,1.0,0,1190,9199,1.0,3,7,1190,0,1955,1190,9364,47.4258,-122.322,0
51,345000.0,5,2.5,0,3150,9134,1.0,4,8,1640,1510,1966,1990,9133,47.4934,-122.189,2
52,600000.0,3,1.75,0,1410,4080,1.0,4,7,1000,410,1950,1410,4080,47.6808,-122.384,0
53,585000.0,2,1.75,0,1980,8550,1.0,3,7,990,990,1981,1480,6738,47.6989,-122.369,0
54,920000.0,5,2.25,0,2730,6000,1.5,3,8,2130,600,1927,2730,6000,47.6571,-122.281,2
55,885000.0,4,2.5,0,2830,5000,2.0,3,9,2830,0,1995,1950,5000,47.6597,-122.29,1
56,292500.0,4,2.5,0,2250,4495,2.0,3,7,2250,0,2008,2250,4500,47.3663,-122.114,1
57,301000.0,3,2.5,0,2420,4750,2.0,3,8,2420,0,2003,2690,4750,47.3663,-122.122,1
58,951000.0,5,3.25,4,3250,14342,2.0,4,8,3250,0,1968,2960,11044,47.588,-122.116,3
59,430000.0,4,3.0,0,1850,9976,2.0,3,8,1850,0,1991,2270,8542,47.5059,-122.149,1
60,650000.0,3,2.25,3,2150,21235,1.0,4,8,1590,560,1959,2570,18900,47.4336,-122.339,2
61,289000.0,3,1.75,0,1260,8400,1.0,3,7,1260,0,1954,1290,8750,47.4366,-122.335,0
62,505000.0,3,1.75,0,2519,8690,2.0,5,8,2519,0,1973,2500,9500,47.4428,-122.344,1
63,549000.0,3,1.75,0,1540,1044,3.0,3,8,1540,0,2014,1580,3090,47.6765,-122.32,1
64,425000.0,3,2.25,0,1660,6000,1.0,3,7,1110,550,1979,1440,4080,47.6113,-122.297,0
65,317625.0,3,2.75,0,2770,3809,1.5,5,7,1770,1000,1925,1440,4000,47.5747,-122.304,2
66,975000.0,4,2.5,0,2720,11049,2.0,3,10,2720,0,1989,2750,11049,47.5815,-122.192,3
67,287000.0,4,2.5,0,2240,4648,2.0,3,7,2240,0,2005,2221,4557,47.3378,-122.257,1
68,204000.0,3,1.0,0,1000,12070,1.0,4,7,1000,0,1968,1010,12635,47.3621,-122.11,0
69,1325000.0,5,2.25,0,3200,20158,1.0,3,8,1600,1600,1965,3390,20158,47.6303,-122.215,2
70,1040000.0,5,3.25,0,4770,50094,1.0,4,11,3070,1700,1973,3530,38917,47.6525,-122.16,3
71,325000.0,3,2.0,0,1260,5612,1.0,4,7,1260,0,1972,1640,4745,47.7362,-122.179,0
72,571000.0,4,2.0,0,2750,7807,1.5,5,7,2250,500,1916,1510,7807,47.7168,-122.287,2
73,360000.0,4,2.5,0,2380,5000,2.0,3,8,2380,0,2005,2420,5000,47.3608,-122.036,1
74,349000.0,3,1.75,0,1790,50529,1.0,5,7,1090,700,1965,1940,50529,47.3511,-122.073,2
75,832500.0,4,4.0,0,3430,35102,2.0,4,10,2390,1040,1986,3240,35020,47.5822,-121.987,3
76,380000.0,4,1.75,0,1760,7300,1.0,3,7,880,880,1956,1680,7500,47.6034,-122.125,2
77,480000.0,3,1.0,0,1040,5060,1.0,3,7,1040,0,1941,890,5060,47.5636,-122.394,0
78,410000.0,3,1.0,0,1410,5060,1.0,4,7,910,500,1956,1130,5693,47.7073,-122.34,0
79,720000.0,4,2.5,0,3450,39683,2.0,3,10,3450,0,2002,3350,39750,47.342,-122.025,3
80,390000.0,3,2.5,0,2350,5100,2.0,3,8,2350,0,2003,2350,5363,47.3512,-122.008,1
81,360000.0,4,2.5,0,1900,5889,2.0,3,7,1900,0,1992,1870,6405,47.349,-122.031,1
82,355000.0,2,1.0,0,2020,6720,1.0,3,7,1010,1010,1948,1720,6720,47.5474,-122.291,0
83,356000.0,3,1.5,0,1680,8712,1.0,3,8,1680,0,1964,1850,8797,47.4811,-122.149,0
84,315000.0,3,1.0,0,960,6634,1.0,3,6,960,0,1952,1570,7203,47.7264,-122.31,0
85,940000.0,3,1.5,0,2140,3600,2.0,3,9,1900,240,1925,2020,4800,47.6337,-122.365,2
86,305000.0,5,2.25,0,2660,8400,1.5,5,7,2660,0,1961,1590,8165,47.2909,-122.189,2
87,461000.0,3,3.25,0,2770,6278,2.0,3,9,1980,790,2006,1900,7349,47.5228,-122.199,1
88,215000.0,2,2.25,0,1610,2040,2.0,4,7,1610,0,1979,1950,2025,47.518,-122.194,1
89,335000.0,2,1.75,0,1030,1066,2.0,3,7,765,265,2006,1030,1106,47.5394,-122.387,0
90,243500.0,4,2.5,0,1980,7403,2.0,3,7,1980,0,1988,1980,7510,47.2897,-122.372,1
91,1099880.0,5,2.75,0,3520,6353,2.0,4,10,3520,0,2001,2520,6250,47.6506,-122.391,3
92,153000.0,3,1.0,0,1200,10500,1.0,3,7,1200,0,1962,1350,10500,47.322,-122.351,0
94,700000.0,3,1.5,0,1580,5000,1.0,3,8,1290,290,1939,1570,4500,47.687,-122.386,0
95,905000.0,4,2.5,0,3300,10250,1.0,3,7,2390,910,1946,1950,6045,47.5873,-122.249,2
96,247500.0,3,1.75,0,1960,15681,1.0,3,7,1960,0,1967,1750,15616,47.3576,-122.277,0
97,199000.0,4,1.5,0,1160,6400,1.0,4,7,1160,0,1975,1160,6400,47.3036,-122.378,0
98,314000.0,3,1.75,0,1810,41800,1.0,5,7,1210,600,1980,1650,135036,47.4109,-121.958,0
99,437500.0,3,2.5,2,2320,36847,2.0,3,9,2320,0,1992,2550,35065,47.4838,-121.714,1
100,850830.0,3,2.5,0,2070,13241,1.5,5,9,1270,800,1910,2200,4500,47.6415,-122.315,2
